year,total_floods,total_damage,total_population
2014,1,284000000,157635.30000000002
2015,0,0,160147.80000000002
2016,4,132000000,162432.2
2017,3,1250000000,164513.80000000002
2018,0,0,166558.40000000002
2019,3,420000000,167458.10000000003
