row_id,start_year,event_name,admin_units,location,latitude,longitude,mapped_state,total_damage_usd,damage_missing,total_deaths,external_ids
39,2019,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm2_code"":37356,""adm2_name"":""Bachok""},{""adm2_code"":37358,""adm2_name"":""Jeli""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]","Johor state; Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli districts (Kelantan state); Pahang state; Marang, Dungun, Kemaman, Hulu Terengganu, Setiu, Besut, Kuala Nerus districts (Terengganu state)",4.415,102.584,Johor,NA,TRUE,2,No
40,2019,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Terengganu, Kelantan",NA,NA,Kelantan,NA,TRUE,NA,No
41,2020,NA,"[{""adm1_code"":1902,""adm1_name"":""Sarawak""}]",Sarawak State (north-west Borneo Island),NA,NA,Sarawak,NA,TRUE,NA,No
43,2020,NA,"[{""adm2_code"":37337,""adm2_name"":""Batu Pahit""},{""adm2_code"":37339,""adm2_name"":""Kluang""},{""adm2_code"":37342,""adm2_name"":""Muar""},{""adm2_code"":37343,""adm2_name"":""Pontian""}]","Pontian, Batu Pahat, Muar, Kluang,Tangkak Districts (Johor State)",24.561,103.055,Johor,NA,TRUE,NA,No
44,2020,NA,"[{""adm2_code"":37408,""adm2_name"":""Kota Belud""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]","Kota Kinabalu, Kota Belud, Tuaran, Telipok Districts (Sabah State)",NA,NA,Sabah,NA,TRUE,NA,No
45,2020,NA,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Terengganu, Kelantan, Pahang",NA,NA,Kelantan,NA,TRUE,NA,No
46,2021,NA,"[{""adm2_code"":37436,""adm2_name"":""Kuching""},{""adm2_code"":37443,""adm2_name"":""Miri""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37448,""adm2_name"":""Serian""}]","Serian, Samarahan, Miri, Kuching districts (Sarawak State)",NA,NA,Sarawak,NA,TRUE,6,No
47,2021,NA,"[{""adm1_code"":1901,""adm1_name"":""Sabah""}]","Beaufort, Kota Marudu, Kudat, Pitas (Sabah State, Borneo's East Malaysia); Serian, Samarahan, Miri, Kuching (Sarawak state)",NA,NA,Sabah,NA,TRUE,NA,No
48,2021,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Johor, Pahang, Terengganu, Sabah, Kelantan, Selangor, Perak states",NA,NA,Johor,NA,TRUE,8,No
49,2021,NA,"[{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37425,""adm2_name"":""Tenom""}]",Beaufort and Tenom districts (Sabah state); Sarawak state; Melaka state,NA,NA,Melaka,NA,TRUE,NA,No
50,2021,NA,"[{""adm2_code"":37346,""adm2_name"":""Bandar Baharu""},{""adm2_code"":37348,""adm2_name"":""Kuala Muda""},{""adm2_code"":37355,""adm2_name"":""Yan""}]","Yan, Kuala Muda and Bandar Baharu districts (Kedah state)",NA,NA,Kedah,NA,TRUE,7,No
51,2021,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37416,""adm2_name"":""Penampang""}]","Kota Kinabalu, Penampang and Putatan Districts (Sabah state) ; Johor, Sarawak states",NA,NA,Johor,NA,TRUE,2,No
52,2021,NA,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1903,""adm1_name"":""Selangor""}]","Kedah, Malacca, Negeri Sembilan, Selangor States, Kuala Lumpur Federal Territory",NA,NA,Kedah,NA,TRUE,NA,No
55,2022,NA,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm2_code"":37390,""adm2_name"":""Hulu Perak""},{""adm2_code"":37454,""adm2_name"":""Gombak""},{""adm2_code"":37457,""adm2_name"":""Kuala Langat""},{""adm2_code"":37459,""adm2_name"":""Petaling""},{""adm2_code"":37461,""adm2_name"":""Sepang""},{""adm2_code"":37462,""adm2_name"":""Ulu Langat""}]","Kuala Lumpur, Melaka, Negeri Sembilan; Gombak, Hulu Langat, Kuala Langat, Petaling and Sepang (Selangor)",NA,NA,Melaka,NA,TRUE,NA,No
56,2022,NA,"[{""adm2_code"":37345,""adm2_name"":""Baling""}]",Baling District (eastern Kedah State),NA,NA,Kedah,NA,TRUE,3,No
57,2022,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""}]","Kelantan, Pahang, Pulau Pinang, Perak, Selangor, Melaka, and Johor in the Malay Peninsula and Sabah State on Borneo Island",NA,NA,Johor,NA,TRUE,NA,No
58,2022,NA,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","Kelantan, Terengganu, Pahang, Johor, Perak states",NA,NA,Johor,NA,TRUE,8,No
59,2023,NA,NA,"Johor, Pahang, and Sabah States",NA,NA,Johor,NA,TRUE,NA,No
60,2023,NA,NA,"Johor, Pahang, Malacca, and Negeri Sembilan",NA,NA,Johor,NA,TRUE,4,No
61,2023,NA,NA,"Selangor, Perak, and Pahang states",NA,NA,Pahang,NA,TRUE,NA,No
62,2023,NA,NA,"Johor, Kelantan, Pahang, Sabah, and Terengganu states",NA,NA,Johor,NA,TRUE,2,No
