state,lon,lat
Johor,103.0365163767999,1.9253950015916625
Johor,103.7775903224221,1.51842527340822
Johor,103.39089551154872,2.0672194286544108
Johor,103.94814525449702,1.764859079672818
Johor,103.55798040878427,1.6779857186550486
Johor,102.63883187954966,2.2729014868713926
Johor,103.74403946825578,2.34540944046131
Johor,102.7844106904508,2.1234625369980993
Johor,103.40312832838032,1.544843516824617
Johor,102.96423507667804,2.480432430437936
Kedah,100.86989623039084,5.71098723825198
Kedah,100.61537206050532,5.206203037480398
Kedah,100.36052561735521,6.114059510761274
Kedah,100.51207890281263,5.69519965558507
Kedah,100.40242444448762,6.355209401590655
Kedah,100.64885185539694,5.401244228594731
Kedah,99.79165635066653,6.346287447240663
Kedah,100.69789416816074,6.264636106383845
Kedah,100.54931502864883,5.987515535291633
Kedah,100.50771198061399,6.159743096450354
Kedah,100.85469780881317,5.9914564803863675
Kedah,100.40179928775741,5.861125334339084
Kelantan,102.37907865110434,5.998026588895697
Kelantan,101.96187318100404,4.945538610408669
Kelantan,101.8244744899143,5.57799107687126
Kelantan,102.26536318360242,6.0432808292496265
Kelantan,102.16631284418072,5.415377616602649
Kelantan,102.24807532189843,5.74650688552013
Kelantan,102.0874781989474,5.996845244227867
Kelantan,102.38828591059129,5.836167641515613
Kelantan,102.03621052615264,5.752332265286033
Kelantan,102.16673812804306,6.167867050883615
KualaLumpur,101.68553851079228,3.1326705085578173
Labuan,115.21772725609875,5.309108318663569
Melaka,102.19783249094186,2.3834136177759233
Melaka,102.43440969499865,2.297351562531968
Melaka,102.25221451056818,2.2402263545812486
NegeriSembilan,102.11387884516608,3.040223550341603
NegeriSembilan,102.46736097070786,2.84692202584831
NegeriSembilan,102.21244472928649,2.730327567907843
NegeriSembilan,101.89186950923981,2.534636537173614
NegeriSembilan,102.10009029954286,2.561446668161228
NegeriSembilan,101.91827916324593,2.7518740435406213
NegeriSembilan,102.45981020686654,2.550741519061601
Pahang,102.0125402639413,3.3804374346122334
Pahang,102.55736493505856,3.167144360943132
Pahang,101.47865030802123,4.4710561177388914
Pahang,102.55580555831939,4.257231844660019
Pahang,103.0913165564894,3.8555631298387882
Pahang,101.91593737180777,4.344830683238634
Pahang,102.66615230151247,3.6156235178949623
Pahang,103.18370661168365,3.3333865307114343
Pahang,101.83481314180727,3.8549453331145185
Pahang,103.11310823723402,2.867688480806824
Pahang,102.26564059798066,3.59114862572274
Perak,101.37164269213311,4.031612581713165
Perak,101.02518489295124,3.9337081884828984
Perak,101.29597934848367,5.4338677628435335
Perak,100.81817944908383,5.222367396947734
Perak,100.56228905433858,5.010555809792809
Perak,101.15769672047054,4.51502387868458
Perak,101.09446941571991,4.830471952991295
Perak,100.72993666116707,4.808285525224683
Perak,100.70723947348861,4.3270707276820595
Perak,100.9097479366258,4.26420419490928
Perlis,100.24201554828828,6.504959977200936
PulauPinang,100.23101275729533,5.356339941420359
PulauPinang,100.47793072128707,5.2114703652915555
PulauPinang,100.46029070659834,5.363868538928228
PulauPinang,100.44345844343529,5.500021606937893
PulauPinang,100.28400945401826,5.408784256655376
Putrajaya,101.68380153420823,2.9052151715732113
Sabah,115.70660202010467,5.326477631597726
Sabah,117.33546389892554,6.058055003671986
Sabah,116.23526284003161,5.25343730221119
Sabah,118.18845427240153,5.407704343572703
Sabah,116.51371010176894,6.316643105031865
Sabah,116.16141596598102,6.007853963165582
Sabah,116.80191539707405,6.43140642845618
Sabah,115.4968936456755,5.427145220198254
Sabah,116.93377145142234,7.019913126113533
Sabah,118.05264390020098,4.7096778086352
Sabah,118.30751521621745,5.063695111793423
Sabah,116.46273083471435,4.618497173784101
Sabah,116.01590182261073,5.627774574948842
Sabah,116.19823958919791,5.843466912461842
Sabah,117.10776291611072,6.713073928813379
Sabah,116.05653147297716,5.8794093070639395
Sabah,116.782519203426,5.915109169055074
Sabah,117.99144745883271,5.765942445631136
Sabah,118.4456912311546,4.496613829401392
Sabah,115.72272020312428,4.666545893230667
Sabah,116.40762879401626,5.675957907072373
Sabah,117.64149854727611,4.474010854931743
Sabah,115.9531446788765,4.89910291705938
Sabah,117.01318712920009,5.124796710029278
Sabah,116.3343225009994,6.077048659248714
Sarawak,110.58670288392865,1.5542993281278312
Sarawak,110.11793632768516,1.382232899886212
Sarawak,114.29584787136423,2.4626424796136224
Sarawak,111.38652391152165,1.545706529364897
Sarawak,113.46440794065118,3.161335635876981
Sarawak,111.98960584336197,2.7023801979647364
Sarawak,111.41938060313925,2.3822732005808183
Sarawak,111.93878439331476,1.8218391020562976
Sarawak,112.22947248778196,1.9648419972470035
Sarawak,113.5126429000506,1.841646542530541
Sarawak,110.32773466960849,1.4299485748906129
Sarawak,115.47331125365156,4.539777866395913
Sarawak,115.12594689050206,4.297672228959666
Sarawak,112.0009118273764,1.2606988462504525
Sarawak,109.85136264785916,1.6577395512315214
Sarawak,114.7722861788968,3.5469478586258214
Sarawak,111.704207965757,2.636124914511307
Sarawak,111.69868612497223,2.1123672223541647
Sarawak,113.82996871439737,3.872702533097622
Sarawak,112.36862068704094,2.827164976511417
Sarawak,111.66014829792451,1.7910634474127543
Sarawak,110.49918591285675,1.4499546241037091
Sarawak,111.30144655039226,1.8390421488905686
Sarawak,111.45740281400684,2.0529108305698225
Sarawak,112.46041314221637,2.455776292363317
Sarawak,110.58583389315955,1.0787900454833568
Sarawak,111.90045690774616,2.3040251251434736
Sarawak,110.85443173587255,1.3227699499796068
Sarawak,112.53943836561284,1.7688035150428407
Sarawak,111.50933676788102,1.255112309142107
Sarawak,113.01732327564844,2.645208758150494
